INSERT INTO Games VALUES(0, date '2003-12-22', date '2008-8-19', 'Kansas City Royals', 'Houston Astros', 'Kansas City Royals');
INSERT INTO Games VALUES(23, date '2007-2-18', date '2005-3-6', 'Minnesota Twins', 'Cincinnati Reds', 'Minnesota Twins');
INSERT INTO Games VALUES(24, date '2008-12-8', date '2006-8-19', 'Chicago Cubs', 'San Francisco Giants', 'Chicago Cubs');
INSERT INTO Games VALUES(25, date '2004-11-15', date '2001-6-1', 'Oakland Athletics', 'New York Yankees', 'Oakland Athletics');
INSERT INTO Games VALUES(26, date '2005-1-4', date '2003-3-3', 'St. Louis Cardinals', 'Arizona Diamondbacks', 'St. Louis Cardinals');
INSERT INTO Games VALUES(27, date '2002-11-15', date '2007-1-10', 'Chicago Cubs', 'Chicago White Sox', 'Chicago Cubs');
INSERT INTO Games VALUES(28, date '2005-11-22', date '2002-5-26', 'Philadelphia Phillies', 'Boston Red Sox', 'Philadelphia Phillies');
INSERT INTO Games VALUES(29, date '2009-4-23', date '2003-12-4', 'Oakland Athletics', 'San Francisco Giants', 'Oakland Athletics');
INSERT INTO Games VALUES(30, date '2003-10-17', date '2003-5-11', 'Minnesota Twins', 'Pittsburgh Pirates', 'Minnesota Twins');
INSERT INTO Games VALUES(31, date '2000-1-6', date '2002-9-25', 'Cleveland Indians', 'Boston Red Sox', 'Cleveland Indians');
INSERT INTO Games VALUES(32, date '2004-7-7', date '2003-1-25', 'Boston Red Sox', 'San Francisco Giants', 'Boston Red Sox');
INSERT INTO Games VALUES(33, date '2007-1-14', date '2005-11-1', 'Detroit Tigers', 'Seattle Mariners', 'Detroit Tigers');
INSERT INTO Games VALUES(34, date '2000-8-22', date '2005-9-27', 'Chicago Cubs', 'Houston Astros', 'Chicago Cubs');
INSERT INTO Games VALUES(35, date '2000-1-22', date '2006-4-13', 'Pittsburgh Pirates', 'Detroit Tigers', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(36, date '2007-7-2', date '2006-5-14', 'Chicago Cubs', 'Toronto Blue Jays', 'Chicago Cubs');
INSERT INTO Games VALUES(37, date '2004-5-8', date '2005-7-3', 'St. Louis Cardinals', 'Philadelphia Phillies', 'St. Louis Cardinals');
INSERT INTO Games VALUES(38, date '2002-10-11', date '2006-2-25', 'Tampa Bay Rays', 'Kansas City Royals', 'Tampa Bay Rays');
INSERT INTO Games VALUES(39, date '2007-2-7', date '2002-5-12', 'New York Yankees', 'Miami Marlins', 'New York Yankees');
INSERT INTO Games VALUES(40, date '2001-12-7', date '2000-5-11', 'Texas Rangers', 'Minnesota Twins', 'Texas Rangers');
INSERT INTO Games VALUES(41, date '2005-4-13', date '2008-11-4', 'Cleveland Indians', 'Washington Nationals', 'Cleveland Indians');
INSERT INTO Games VALUES(42, date '2007-12-21', date '2002-1-26', 'Kansas City Royals', 'Oakland Athletics', 'Kansas City Royals');
INSERT INTO Games VALUES(43, date '2005-9-26', date '2007-9-11', 'Detroit Tigers', 'Toronto Blue Jays', 'Detroit Tigers');
INSERT INTO Games VALUES(44, date '2000-12-22', date '2002-8-21', 'Texas Rangers', 'Oakland Athletics', 'Texas Rangers');
INSERT INTO Games VALUES(45, date '2009-3-18', date '2001-8-23', 'New York Mets', 'San Diego Padres', 'New York Mets');
INSERT INTO Games VALUES(46, date '2008-3-3', date '2004-6-11', 'Chicago White Sox', 'Chicago Cubs', 'Chicago White Sox');
INSERT INTO Games VALUES(47, date '2007-1-21', date '2001-11-22', 'Oakland Athletics', 'New York Mets', 'Oakland Athletics');
INSERT INTO Games VALUES(48, date '2004-11-20', date '2009-11-12', 'New York Mets', 'Oakland Athletics', 'New York Mets');
INSERT INTO Games VALUES(49, date '2000-5-1', date '2003-9-23', 'Texas Rangers', 'Washington Nationals', 'Texas Rangers');
INSERT INTO Games VALUES(50, date '2007-2-6', date '2001-4-18', 'Tampa Bay Rays', 'San Diego Padres', 'Tampa Bay Rays');
INSERT INTO Games VALUES(51, date '2001-2-18', date '2009-4-9', 'St. Louis Cardinals', 'San Diego Padres', 'St. Louis Cardinals');
INSERT INTO Games VALUES(52, date '2008-8-16', date '2003-1-21', 'Arizona Diamondbacks', 'Miami Marlins', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(53, date '2006-3-13', date '2007-2-22', 'Milwaukee Brewers', 'Kansas City Royals', 'Milwaukee Brewers');
INSERT INTO Games VALUES(54, date '2003-6-16', date '2001-7-24', 'Cincinnati Reds', 'Boston Red Sox', 'Cincinnati Reds');
INSERT INTO Games VALUES(55, date '2001-5-21', date '2006-8-20', 'New York Mets', 'St. Louis Cardinals', 'New York Mets');
INSERT INTO Games VALUES(56, date '2002-3-26', date '2006-7-10', 'Houston Astros', 'Los Angeles Angels', 'Houston Astros');
INSERT INTO Games VALUES(57, date '2007-12-11', date '2009-1-6', 'Milwaukee Brewers', 'San Francisco Giants', 'Milwaukee Brewers');
INSERT INTO Games VALUES(58, date '2000-6-23', date '2009-4-9', 'Philadelphia Phillies', 'Washington Nationals', 'Philadelphia Phillies');
INSERT INTO Games VALUES(59, date '2001-9-12', date '2008-6-3', 'San Francisco Giants', 'Minnesota Twins', 'San Francisco Giants');
INSERT INTO Games VALUES(60, date '2003-8-7', date '2009-8-23', 'Minnesota Twins', 'San Francisco Giants', 'Minnesota Twins');
INSERT INTO Games VALUES(61, date '2000-12-25', date '2007-3-12', 'Arizona Diamondbacks', 'Kansas City Royals', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(62, date '2009-6-10', date '2006-3-16', 'Pittsburgh Pirates', 'Milwaukee Brewers', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(63, date '2006-3-25', date '2008-10-9', 'Washington Nationals', 'San Diego Padres', 'Washington Nationals');
INSERT INTO Games VALUES(64, date '2006-12-22', date '2009-1-26', 'Atlanta Braves', 'Baltimore Orioles', 'Atlanta Braves');
INSERT INTO Games VALUES(65, date '2003-8-26', date '2006-7-16', 'Toronto Blue Jays', 'Arizona Diamondbacks', 'Toronto Blue Jays');
INSERT INTO Games VALUES(66, date '2002-7-22', date '2008-7-7', 'Chicago Cubs', 'New York Mets', 'Chicago Cubs');
INSERT INTO Games VALUES(67, date '2006-2-7', date '2003-9-28', 'San Francisco Giants', 'Washington Nationals', 'San Francisco Giants');
INSERT INTO Games VALUES(68, date '2007-3-15', date '2003-1-14', 'Seattle Mariners', 'San Diego Padres', 'Seattle Mariners');
INSERT INTO Games VALUES(69, date '2007-3-14', date '2007-11-6', 'New York Mets', 'Los Angeles Dodgers', 'New York Mets');
INSERT INTO Games VALUES(70, date '2005-8-25', date '2004-4-1', 'Seattle Mariners', 'Houston Astros', 'Seattle Mariners');
INSERT INTO Games VALUES(71, date '2000-10-3', date '2000-3-18', 'Milwaukee Brewers', 'Seattle Mariners', 'Milwaukee Brewers');
INSERT INTO Games VALUES(72, date '2001-12-2', date '2000-9-22', 'Toronto Blue Jays', 'Milwaukee Brewers', 'Toronto Blue Jays');
INSERT INTO Games VALUES(73, date '2002-2-22', date '2003-7-10', 'Philadelphia Phillies', 'Seattle Mariners', 'Philadelphia Phillies');
INSERT INTO Games VALUES(74, date '2008-9-5', date '2003-7-5', 'Minnesota Twins', 'Pittsburgh Pirates', 'Minnesota Twins');
INSERT INTO Games VALUES(75, date '2006-8-12', date '2003-11-13', 'New York Mets', 'Oakland Athletics', 'New York Mets');
INSERT INTO Games VALUES(76, date '2001-3-28', date '2002-8-12', 'Tampa Bay Rays', 'Texas Rangers', 'Tampa Bay Rays');
INSERT INTO Games VALUES(77, date '2009-4-21', date '2009-8-4', 'Milwaukee Brewers', 'Milwaukee Brewers', 'Milwaukee Brewers');
INSERT INTO Games VALUES(78, date '2009-7-6', date '2005-4-25', 'Boston Red Sox', 'Toronto Blue Jays', 'Boston Red Sox');
INSERT INTO Games VALUES(79, date '2009-3-10', date '2009-6-19', 'Boston Red Sox', 'Los Angeles Dodgers', 'Boston Red Sox');
INSERT INTO Games VALUES(80, date '2003-1-28', date '2007-7-6', 'Baltimore Orioles', 'Atlanta Braves', 'Baltimore Orioles');
INSERT INTO Games VALUES(81, date '2006-5-19', date '2003-1-8', 'Chicago White Sox', 'Arizona Diamondbacks', 'Chicago White Sox');
INSERT INTO Games VALUES(82, date '2004-2-22', date '2001-10-3', 'Houston Astros', 'New York Yankees', 'Houston Astros');
INSERT INTO Games VALUES(83, date '2009-12-5', date '2000-7-1', 'San Diego Padres', 'Atlanta Braves', 'San Diego Padres');
INSERT INTO Games VALUES(84, date '2007-5-26', date '2004-10-14', 'Miami Marlins', 'Oakland Athletics', 'Miami Marlins');
INSERT INTO Games VALUES(85, date '2007-10-4', date '2008-3-14', 'Texas Rangers', 'Kansas City Royals', 'Texas Rangers');
INSERT INTO Games VALUES(86, date '2003-9-11', date '2000-6-20', 'Atlanta Braves', 'Oakland Athletics', 'Atlanta Braves');
INSERT INTO Games VALUES(87, date '2004-10-1', date '2003-7-11', 'Chicago Cubs', 'San Diego Padres', 'Chicago Cubs');
INSERT INTO Games VALUES(88, date '2006-11-19', date '2007-12-10', 'Kansas City Royals', 'Philadelphia Phillies', 'Kansas City Royals');
INSERT INTO Games VALUES(89, date '2008-6-1', date '2009-10-13', 'Tampa Bay Rays', 'Los Angeles Angels', 'Tampa Bay Rays');
INSERT INTO Games VALUES(90, date '2004-8-24', date '2001-3-20', 'New York Mets', 'Toronto Blue Jays', 'New York Mets');
INSERT INTO Games VALUES(91, date '2004-1-23', date '2007-1-1', 'Houston Astros', 'Philadelphia Phillies', 'Houston Astros');
INSERT INTO Games VALUES(92, date '2007-4-17', date '2000-9-27', 'Los Angeles Angels', 'Arizona Diamondbacks', 'Los Angeles Angels');
INSERT INTO Games VALUES(93, date '2001-10-13', date '2000-1-23', 'New York Mets', 'Washington Nationals', 'New York Mets');
INSERT INTO Games VALUES(94, date '2009-11-26', date '2004-2-24', 'Washington Nationals', 'Chicago Cubs', 'Washington Nationals');
INSERT INTO Games VALUES(95, date '2001-2-2', date '2008-6-23', 'Chicago Cubs', 'Arizona Diamondbacks', 'Chicago Cubs');
INSERT INTO Games VALUES(96, date '2006-4-26', date '2003-10-5', 'Tampa Bay Rays', 'Chicago Cubs', 'Tampa Bay Rays');
INSERT INTO Games VALUES(97, date '2008-1-20', date '2008-4-10', 'Milwaukee Brewers', 'Kansas City Royals', 'Milwaukee Brewers');
INSERT INTO Games VALUES(98, date '2000-3-4', date '2000-2-26', 'Baltimore Orioles', 'Baltimore Orioles', 'Baltimore Orioles');
INSERT INTO Games VALUES(99, date '2005-12-15', date '2008-1-21', 'Cincinnati Reds', 'Chicago White Sox', 'Cincinnati Reds');
INSERT INTO Games VALUES(100, date '2007-1-18', date '2009-3-12', 'Chicago Cubs', 'New York Yankees', 'Chicago Cubs');
INSERT INTO Games VALUES(101, date '2007-3-27', date '2004-4-7', 'Tampa Bay Rays', 'Detroit Tigers', 'Tampa Bay Rays');
INSERT INTO Games VALUES(102, date '2003-12-2', date '2000-8-6', 'Arizona Diamondbacks', 'Arizona Diamondbacks', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(103, date '2000-4-12', date '2005-3-19', 'Los Angeles Dodgers', 'Baltimore Orioles', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(104, date '2002-9-7', date '2007-3-4', 'St. Louis Cardinals', 'Texas Rangers', 'St. Louis Cardinals');
INSERT INTO Games VALUES(105, date '2000-5-8', date '2008-9-10', 'New York Yankees', 'Los Angeles Dodgers', 'New York Yankees');
INSERT INTO Games VALUES(106, date '2007-1-16', date '2006-3-10', 'Boston Red Sox', 'Houston Astros', 'Boston Red Sox');
INSERT INTO Games VALUES(107, date '2002-1-19', date '2005-7-24', 'Colorado Rockies', 'Cincinnati Reds', 'Colorado Rockies');
INSERT INTO Games VALUES(108, date '2000-12-19', date '2004-6-20', 'Seattle Mariners', 'Chicago White Sox', 'Seattle Mariners');
INSERT INTO Games VALUES(109, date '2005-6-18', date '2005-2-27', 'Pittsburgh Pirates', 'San Francisco Giants', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(110, date '2002-6-6', date '2009-4-25', 'Detroit Tigers', 'St. Louis Cardinals', 'Detroit Tigers');
INSERT INTO Games VALUES(111, date '2005-3-16', date '2004-2-2', 'San Diego Padres', 'Miami Marlins', 'San Diego Padres');
INSERT INTO Games VALUES(112, date '2009-9-17', date '2000-10-14', 'Baltimore Orioles', 'Milwaukee Brewers', 'Baltimore Orioles');
INSERT INTO Games VALUES(113, date '2008-3-18', date '2002-4-22', 'Los Angeles Dodgers', 'Los Angeles Angels', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(114, date '2003-4-9', date '2009-7-2', 'Minnesota Twins', 'Detroit Tigers', 'Minnesota Twins');
INSERT INTO Games VALUES(115, date '2009-11-9', date '2008-3-27', 'Colorado Rockies', 'Texas Rangers', 'Colorado Rockies');
INSERT INTO Games VALUES(116, date '2000-12-14', date '2004-12-17', 'Kansas City Royals', 'Chicago White Sox', 'Kansas City Royals');
INSERT INTO Games VALUES(117, date '2005-3-22', date '2007-10-19', 'New York Yankees', 'New York Yankees', 'New York Yankees');
INSERT INTO Games VALUES(118, date '2006-10-8', date '2007-7-19', 'Los Angeles Dodgers', 'Texas Rangers', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(119, date '2008-9-12', date '2005-7-13', 'Atlanta Braves', 'New York Mets', 'Atlanta Braves');
INSERT INTO Games VALUES(120, date '2003-10-17', date '2009-10-20', 'Cincinnati Reds', 'Minnesota Twins', 'Cincinnati Reds');
INSERT INTO Games VALUES(121, date '2003-6-1', date '2009-1-14', 'Houston Astros', 'Minnesota Twins', 'Houston Astros');
INSERT INTO Games VALUES(122, date '2002-12-24', date '2000-8-10', 'Milwaukee Brewers', 'San Francisco Giants', 'Milwaukee Brewers');
INSERT INTO Games VALUES(123, date '2003-7-28', date '2001-2-10', 'Toronto Blue Jays', 'Detroit Tigers', 'Toronto Blue Jays');
INSERT INTO Games VALUES(124, date '2001-6-6', date '2005-4-24', 'Houston Astros', 'Colorado Rockies', 'Houston Astros');
INSERT INTO Games VALUES(125, date '2000-5-27', date '2003-12-19', 'Kansas City Royals', 'Tampa Bay Rays', 'Kansas City Royals');
INSERT INTO Games VALUES(126, date '2009-3-23', date '2007-11-9', 'Los Angeles Dodgers', 'Milwaukee Brewers', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(127, date '2006-11-5', date '2007-7-11', 'Milwaukee Brewers', 'Oakland Athletics', 'Milwaukee Brewers');
INSERT INTO Games VALUES(128, date '2004-1-1', date '2009-2-26', 'Milwaukee Brewers', 'Kansas City Royals', 'Milwaukee Brewers');
INSERT INTO Games VALUES(129, date '2009-8-16', date '2005-12-18', 'Texas Rangers', 'Tampa Bay Rays', 'Texas Rangers');
INSERT INTO Games VALUES(130, date '2003-10-23', date '2003-8-6', 'Philadelphia Phillies', 'Colorado Rockies', 'Philadelphia Phillies');
INSERT INTO Games VALUES(131, date '2004-9-24', date '2005-2-16', 'Chicago White Sox', 'Milwaukee Brewers', 'Chicago White Sox');
INSERT INTO Games VALUES(132, date '2006-2-11', date '2000-2-4', 'Los Angeles Dodgers', 'San Diego Padres', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(133, date '2004-9-5', date '2006-8-26', 'Tampa Bay Rays', 'Minnesota Twins', 'Tampa Bay Rays');
INSERT INTO Games VALUES(134, date '2000-6-12', date '2000-6-6', 'Los Angeles Dodgers', 'Kansas City Royals', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(135, date '2007-4-12', date '2001-9-25', 'Miami Marlins', 'Detroit Tigers', 'Miami Marlins');
INSERT INTO Games VALUES(136, date '2007-5-15', date '2004-11-15', 'Los Angeles Angels', 'Cincinnati Reds', 'Los Angeles Angels');
INSERT INTO Games VALUES(137, date '2004-6-9', date '2003-1-4', 'Seattle Mariners', 'Oakland Athletics', 'Seattle Mariners');
INSERT INTO Games VALUES(138, date '2008-10-4', date '2009-1-9', 'Detroit Tigers', 'Cleveland Indians', 'Detroit Tigers');
INSERT INTO Games VALUES(139, date '2004-4-21', date '2006-5-22', 'Atlanta Braves', 'Houston Astros', 'Atlanta Braves');
INSERT INTO Games VALUES(140, date '2003-11-17', date '2004-3-3', 'Boston Red Sox', 'Colorado Rockies', 'Boston Red Sox');
INSERT INTO Games VALUES(141, date '2001-3-21', date '2001-6-13', 'Chicago Cubs', 'Cleveland Indians', 'Chicago Cubs');
INSERT INTO Games VALUES(142, date '2001-10-13', date '2002-3-19', 'Chicago White Sox', 'New York Yankees', 'Chicago White Sox');
INSERT INTO Games VALUES(143, date '2007-10-28', date '2001-8-7', 'Texas Rangers', 'Cincinnati Reds', 'Texas Rangers');
INSERT INTO Games VALUES(144, date '2002-7-17', date '2003-6-12', 'New York Yankees', 'Oakland Athletics', 'New York Yankees');
INSERT INTO Games VALUES(145, date '2000-7-27', date '2006-12-7', 'Arizona Diamondbacks', 'Philadelphia Phillies', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(146, date '2001-3-22', date '2006-9-24', 'Washington Nationals', 'Detroit Tigers', 'Washington Nationals');
INSERT INTO Games VALUES(147, date '2000-9-20', date '2002-10-4', 'Cleveland Indians', 'Chicago Cubs', 'Cleveland Indians');
INSERT INTO Games VALUES(148, date '2000-2-8', date '2002-9-26', 'Miami Marlins', 'Atlanta Braves', 'Miami Marlins');
INSERT INTO Games VALUES(149, date '2000-10-25', date '2002-3-27', 'Colorado Rockies', 'Houston Astros', 'Colorado Rockies');
INSERT INTO Games VALUES(150, date '2002-5-23', date '2000-5-4', 'Chicago Cubs', 'Chicago White Sox', 'Chicago Cubs');
INSERT INTO Games VALUES(151, date '2005-5-9', date '2008-2-20', 'Los Angeles Dodgers', 'Miami Marlins', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(152, date '2009-11-1', date '2001-7-4', 'Minnesota Twins', 'Colorado Rockies', 'Minnesota Twins');
INSERT INTO Games VALUES(153, date '2003-9-6', date '2001-5-17', 'Milwaukee Brewers', 'Cincinnati Reds', 'Milwaukee Brewers');
INSERT INTO Games VALUES(154, date '2006-2-17', date '2000-3-18', 'New York Yankees', 'Tampa Bay Rays', 'New York Yankees');
INSERT INTO Games VALUES(155, date '2006-7-15', date '2004-5-17', 'Philadelphia Phillies', 'New York Mets', 'Philadelphia Phillies');
INSERT INTO Games VALUES(156, date '2007-2-4', date '2000-1-12', 'Colorado Rockies', 'Texas Rangers', 'Colorado Rockies');
INSERT INTO Games VALUES(157, date '2009-7-27', date '2000-1-1', 'Washington Nationals', 'Cleveland Indians', 'Washington Nationals');
INSERT INTO Games VALUES(158, date '2001-8-15', date '2005-6-16', 'Colorado Rockies', 'Pittsburgh Pirates', 'Colorado Rockies');
INSERT INTO Games VALUES(159, date '2009-7-11', date '2009-2-25', 'Atlanta Braves', 'Cincinnati Reds', 'Atlanta Braves');
INSERT INTO Games VALUES(160, date '2008-12-2', date '2007-7-5', 'New York Mets', 'Los Angeles Dodgers', 'New York Mets');
INSERT INTO Games VALUES(161, date '2008-5-19', date '2007-5-15', 'Tampa Bay Rays', 'Houston Astros', 'Tampa Bay Rays');
INSERT INTO Games VALUES(162, date '2007-3-25', date '2008-7-24', 'Arizona Diamondbacks', 'Boston Red Sox', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(163, date '2006-3-27', date '2004-2-18', 'Atlanta Braves', 'St. Louis Cardinals', 'Atlanta Braves');
INSERT INTO Games VALUES(164, date '2006-8-26', date '2005-12-26', 'Detroit Tigers', 'Kansas City Royals', 'Detroit Tigers');
INSERT INTO Games VALUES(165, date '2006-6-14', date '2008-2-23', 'Pittsburgh Pirates', 'Atlanta Braves', 'Pittsburgh Pirates');
INSERT INTO Games VALUES(166, date '2004-2-16', date '2002-10-28', 'Seattle Mariners', 'Detroit Tigers', 'Seattle Mariners');
INSERT INTO Games VALUES(167, date '2005-6-2', date '2001-8-18', 'Atlanta Braves', 'San Francisco Giants', 'Atlanta Braves');
INSERT INTO Games VALUES(168, date '2007-7-24', date '2004-9-16', 'Kansas City Royals', 'Oakland Athletics', 'Kansas City Royals');
INSERT INTO Games VALUES(169, date '2005-2-16', date '2000-3-13', 'New York Yankees', 'Miami Marlins', 'New York Yankees');
INSERT INTO Games VALUES(170, date '2004-1-6', date '2001-9-26', 'St. Louis Cardinals', 'Detroit Tigers', 'St. Louis Cardinals');
INSERT INTO Games VALUES(171, date '2006-1-21', date '2002-5-26', 'Baltimore Orioles', 'Cleveland Indians', 'Baltimore Orioles');
INSERT INTO Games VALUES(172, date '2000-8-24', date '2002-1-28', 'Oakland Athletics', 'Pittsburgh Pirates', 'Oakland Athletics');
INSERT INTO Games VALUES(173, date '2003-2-10', date '2000-12-8', 'Oakland Athletics', 'Pittsburgh Pirates', 'Oakland Athletics');
INSERT INTO Games VALUES(174, date '2000-5-1', date '2006-11-11', 'Atlanta Braves', 'Milwaukee Brewers', 'Atlanta Braves');
INSERT INTO Games VALUES(175, date '2005-2-18', date '2008-9-10', 'Arizona Diamondbacks', 'Chicago Cubs', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(176, date '2005-11-15', date '2008-12-20', 'Detroit Tigers', 'Miami Marlins', 'Detroit Tigers');
INSERT INTO Games VALUES(177, date '2005-9-22', date '2003-3-2', 'Miami Marlins', 'Detroit Tigers', 'Miami Marlins');
INSERT INTO Games VALUES(178, date '2002-5-5', date '2006-2-15', 'Los Angeles Dodgers', 'Houston Astros', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(179, date '2000-4-8', date '2004-7-10', 'Philadelphia Phillies', 'Tampa Bay Rays', 'Philadelphia Phillies');
INSERT INTO Games VALUES(180, date '2001-5-12', date '2005-8-17', 'Los Angeles Dodgers', 'San Diego Padres', 'Los Angeles Dodgers');
INSERT INTO Games VALUES(181, date '2002-7-3', date '2006-9-21', 'Atlanta Braves', 'Houston Astros', 'Atlanta Braves');
INSERT INTO Games VALUES(182, date '2005-10-20', date '2005-6-18', 'San Diego Padres', 'Minnesota Twins', 'San Diego Padres');
INSERT INTO Games VALUES(183, date '2007-4-27', date '2001-7-2', 'Cincinnati Reds', 'Washington Nationals', 'Cincinnati Reds');
INSERT INTO Games VALUES(184, date '2006-5-23', date '2000-10-27', 'Tampa Bay Rays', 'Kansas City Royals', 'Tampa Bay Rays');
INSERT INTO Games VALUES(185, date '2004-9-18', date '2001-4-18', 'Arizona Diamondbacks', 'Colorado Rockies', 'Arizona Diamondbacks');
INSERT INTO Games VALUES(186, date '2005-3-4', date '2004-8-20', 'Boston Red Sox', 'Chicago Cubs', 'Boston Red Sox');
INSERT INTO Games VALUES(187, date '2004-1-24', date '2000-2-10', 'Miami Marlins', 'Atlanta Braves', 'Miami Marlins');
INSERT INTO Games VALUES(188, date '2005-12-9', date '2007-9-22', 'Kansas City Royals', 'New York Mets', 'Kansas City Royals');
INSERT INTO Games VALUES(189, date '2000-7-5', date '2008-12-18', 'Toronto Blue Jays', 'Tampa Bay Rays', 'Toronto Blue Jays');
INSERT INTO Games VALUES(190, date '2007-4-9', date '2002-4-9', 'Tampa Bay Rays', 'Washington Nationals', 'Tampa Bay Rays');
INSERT INTO Games VALUES(191, date '2002-4-22', date '2001-12-13', 'Detroit Tigers', 'Chicago White Sox', 'Detroit Tigers');
INSERT INTO Games VALUES(192, date '2002-5-20', date '2003-10-5', 'Philadelphia Phillies', 'St. Louis Cardinals', 'Philadelphia Phillies');
INSERT INTO Games VALUES(193, date '2009-8-27', date '2004-9-7', 'Texas Rangers', 'Pittsburgh Pirates', 'Texas Rangers');
INSERT INTO Games VALUES(194, date '2007-10-21', date '2005-1-13', 'Kansas City Royals', 'Toronto Blue Jays', 'Kansas City Royals');
INSERT INTO Games VALUES(195, date '2007-8-1', date '2000-12-5', 'Washington Nationals', 'Chicago White Sox', 'Washington Nationals');
INSERT INTO Games VALUES(196, date '2002-12-15', date '2001-8-18', 'Baltimore Orioles', 'Philadelphia Phillies', 'Baltimore Orioles');
INSERT INTO Games VALUES(197, date '2003-12-24', date '2009-5-6', 'Texas Rangers', 'Washington Nationals', 'Texas Rangers');
INSERT INTO Games VALUES(198, date '2005-12-6', date '2006-7-3', 'Cincinnati Reds', 'Atlanta Braves', 'Cincinnati Reds');
INSERT INTO Games VALUES(199, date '2006-9-9', date '2006-10-20', 'Detroit Tigers', 'New York Mets', 'Detroit Tigers');
INSERT INTO Games VALUES(200, date '2004-10-19', date '2007-12-4', 'Atlanta Braves', 'Tampa Bay Rays', 'Atlanta Braves');
