INSERT INTO PosPlayer VALUES('Left', 'CF', 'Miguel Montero', 36, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Ivan Rodriguez', 76, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Carlos Maldonado', 13, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Luke Scott', 91, 'Oakland Athletics');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Travis Hafner', 78, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Mike Sweeney', 50, 'New York Mets');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Mike Sweeney', 93, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Mike Sweeney', 59, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Tony Abreu', 35, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Yunel Escobar', 72, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Martin Prado', 2, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Troy Glaus', 79, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Brandon Hicks', 73, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Diory Hernandez', 23, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Chipper Jones', 8, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Brian Roberts', 57, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Jed Lowrie', 57, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Mike Lowell', 64, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Dustin Pedroia', 39, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Eric Patterson', 75, 'Pittsburgh Pirates');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Kevin Youkilis', 53, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Aramis Ramirez', 47, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Mark Teahen', 75, 'Houston Astros');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Orlando Cabrera', 89, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Russell Branyan', 65, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Andy Marte', 48, 'Baltimore Orioles');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Asdrubal Cabrera', 41, 'New York Mets');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Troy Tulowitzki', 36, 'New York Mets');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Todd Helton', 59, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Ian Stewart', 47, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Brandon Inge', 88, 'Baltimore Orioles');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Danny Worth', 33, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Donnie Murphy', 84, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Lance Berkman', 3, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Chris Johnson', 53, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Geoff Blum', 88, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Tommy Manzella', 12, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Jeff Keppinger', 60, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Alex Gordon', 64, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Left', 'P', 'Chris Getz', 23, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Josh Fields', 75, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Maicer Izturis', 81, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Brandon Wood', 21, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Maicer Izturis', 5, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Maicer Izturis', 52, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Kendry Morales', 68, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Rafael Furcal', 17, 'Cleveland Indians');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Rafael Furcal', 83, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Nick Punto', 56, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'J.J. Hardy', 62, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Orlando Hudson', 51, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'J.J. Hardy', 28, 'New York Mets');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Alexi Casilla', 69, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Orlando Hudson', 44, 'Seattle Mariners');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Matt Tolbert', 0, 'Houston Astros');
INSERT INTO PosPlayer VALUES('Left', 'P', 'Nick Punto', 9, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Justin Morneau', 13, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Nick Punto', 89, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Mat Gamel', 59, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Jose Reyes', 61, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Daniel Murphy', 72, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Luis Castillo', 46, 'Houston Astros');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Fernando Tatis', 46, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Lance Berkman', 57, 'Los Angeles Dodgers');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Alex Rodriguez', 23, 'Los Angeles Dodgers');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Nick Johnson', 53, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Mark Ellis', 68, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Eric Chavez', 4, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Adam Rosales', 60, 'Baltimore Orioles');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Jimmy Rollins', 55, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Jimmy Rollins', 90, 'New York Mets');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Placido Polanco', 32, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Chase Utley', 16, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Ryan Howard', 55, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Steve Pearce', 55, 'Cleveland Indians');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Jeff Clement', 13, 'Los Angeles Dodgers');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Everth Cabrera', 35, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Jerry Hairston', 33, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Everth Cabrera', 93, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Left', 'C', 'David Eckstein', 20, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Oscar Salazar', 96, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Jack Wilson', 76, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Jack Wilson', 34, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Edgar Renteria', 87, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Freddy Sanchez', 91, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Edgar Renteria', 9, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Ryan Rohlinger', 43, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Edgar Renteria', 99, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Emmanuel Burriss', 39, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Felipe Lopez', 14, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Tyler Greene', 57, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'David Freese', 33, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Jason Bartlett', 90, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Carlos Pena', 1, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Ian Kinsler', 0, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Joaquin Arias', 7, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Joaquin Arias', 64, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Ian Kinsler', 75, 'Colorado Rockies');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Cristian Guzman', 11, 'St. Louis Cardinals');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Aaron Hill', 90, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Edwin Encarnacion', 96, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Edwin Encarnacion', 99, 'Seattle Mariners');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Mike Morse', 51, 'Los Angeles Dodgers');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Conor Jackson', 48, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Matt Diaz', 10, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Jason Heyward', 80, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Nate McLouth', 8, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', 'DH', 'Brent Clevlen', 44, 'New York Mets');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Felix Pie', 20, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Lou Montanez', 2, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Jacoby Ellsbury', 59, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Mike Cameron', 68, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Jeremy Hermida', 2, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Jacoby Ellsbury', 70, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Jacoby Ellsbury', 64, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Mike Cameron', 28, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Tyler Colvin', 71, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Jim Edmonds', 19, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Laynce Nix', 62, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Chris Dickerson', 28, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Left', 'P', 'Shin-Soo Choo', 61, 'Seattle Mariners');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Grady Sizemore', 80, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Brad Hawpe', 42, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Eric Young', 75, 'Oakland Athletics');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Carlos Guillen', 65, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Carlos Guillen', 1, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Carlos Guillen', 56, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Magglio Ordonez', 35, 'Tampa Bay Rays');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Brett Carroll', 10, 'Boston Red Sox');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Chris Coghlan', 10, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Rick Ankiel', 60, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'David DeJesus', 43, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Reggie Willits', 46, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Manny Ramirez', 62, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Andre Ethier', 15, 'Texas Rangers');
INSERT INTO PosPlayer VALUES('Left', 'P', 'Manny Ramirez', 93, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', 'CF', 'Reed Johnson', 1, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Manny Ramirez', 42, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Carlos Gomez', 61, 'Tampa Bay Rays');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Jim Edmonds', 33, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Right', '1B', 'Jody Gerut', 26, 'Pittsburgh Pirates');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Carlos Gomez', 80, 'Arizona Diamondbacks');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Carlos Beltran', 53, 'Cleveland Indians');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Jason Bay', 85, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Curtis Granderson', 64, 'New York Yankees');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Marcus Thames', 73, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Coco Crisp', 41, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Coco Crisp', 75, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Travis Buck', 51, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Right', '2B', 'Conor Jackson', 72, 'Seattle Mariners');
INSERT INTO PosPlayer VALUES('Right', 'P', 'Conor Jackson', 48, 'Tampa Bay Rays');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Ryan Sweeney', 87, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Shane Victorino', 9, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Left', 'C', 'Ross Gload', 93, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Matt Stairs', 14, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Will Venable', 78, 'Pittsburgh Pirates');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Scott Hairston', 98, 'Philadelphia Phillies');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Tony Gwynn', 20, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', 'SS', 'Kyle Blanks', 56, 'Toronto Blue Jays');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Milton Bradley', 17, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Right', 'C', 'Aaron Rowand', 49, 'Milwaukee Brewers');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Eugenio Velez', 60, 'Los Angeles Angels');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Mark DeRosa', 25, 'San Francisco Giants');
INSERT INTO PosPlayer VALUES('Right', 'RF', 'Ryan Ludwick', 97, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Nick Stavinoha', 13, 'New York Mets');
INSERT INTO PosPlayer VALUES('Left', 'LF', 'Matt Joyce', 1, 'Chicago Cubs');
INSERT INTO PosPlayer VALUES('Left', 'CF', 'Gabe Kapler', 79, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', '1B', 'Rocco Baldelli', 53, 'Miami Marlins');
INSERT INTO PosPlayer VALUES('Right', '3B', 'Gabe Kapler', 69, 'Chicago White Sox');
INSERT INTO PosPlayer VALUES('Left', '3B', 'Nelson Cruz', 3, 'Washington Nationals');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Nelson Cruz', 56, 'San Diego Padres');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Nelson Cruz', 36, 'Minnesota Twins');
INSERT INTO PosPlayer VALUES('Left', 'RF', 'Craig Gentry', 13, 'Detroit Tigers');
INSERT INTO PosPlayer VALUES('Left', '2B', 'Travis Snider', 49, 'Cincinnati Reds');
INSERT INTO PosPlayer VALUES('Right', 'LF', 'Nyjer Morgan', 19, 'Kansas City Royals');
INSERT INTO PosPlayer VALUES('Right', 'SS', 'Josh Willingham', 40, 'Atlanta Braves');
INSERT INTO PosPlayer VALUES('Right', 'DH', 'Matt Watson', 87, 'Los Angeles Dodgers');
